,Id,Speed,RPM,Engine Load,Gear No._DBSCAN
0,131505,7,898,44,0.0
1,133384,7,898,44,0.0
2,131504,1,917,32,0.0
3,133424,1,917,32,0.0
4,131503,0,774,38,0.0
5,133468,0,774,38,0.0
6,131502,0,776,38,0.0
7,133495,0,776,38,0.0
8,133523,0,782,39,0.0
9,131501,0,782,39,0.0
10,133567,0,781,38,0.0
11,131583,0,781,38,0.0
12,131582,0,781,39,0.0
13,133593,0,781,39,0.0
14,131581,0,778,37,0.0
15,133628,0,778,37,0.0
16,133651,0,780,36,0.0
17,131580,0,780,36,0.0
18,131579,0,780,39,0.0
19,133697,0,780,39,0.0
20,133723,0,779,38,0.0
21,133757,0,774,35,0.0
22,133780,0,780,38,0.0
23,133850,0,776,39,0.0
24,133936,0,786,38,0.0
25,133902,0,786,38,0.0
26,133976,0,776,36,0.0
27,134012,0,783,36,0.0
28,134065,0,785,39,0.0
29,134324,0,785,39,0.0
30,134323,0,781,38,0.0
31,134322,0,781,38,0.0
32,134321,0,780,0,0.0
33,134320,0,777,37,0.0
34,134361,0,780,2,0.0
35,134398,0,781,2,0.0
36,134480,0,776,37,0.0
37,134589,0,780,37,0.0
38,134588,0,780,38,0.0
39,134587,0,0,38,0.0
40,134638,0,780,35,0.0
41,134682,0,780,38,0.0
42,134716,0,778,38,0.0
43,134767,0,777,37,0.0
44,134816,0,777,37,0.0
45,134854,0,783,37,0.0
46,134888,0,784,39,0.0
47,135020,0,778,37,0.0
48,135065,0,788,39,0.0
49,135104,0,781,36,0.0
50,135148,0,783,37,0.0
51,135184,0,777,36,0.0
52,135230,0,786,36,0.0
53,135251,0,781,38,0.0
54,135305,0,781,38,0.0
55,135329,0,782,34,0.0
56,135367,0,768,39,0.0
57,135417,7,946,86,0.0
58,135469,19,1747,0,0.0
59,135548,25,1783,43,2.0
60,135547,24,1654,1,2.0
61,135582,11,879,31,0.0
62,135612,6,964,36,0.0
63,135635,7,963,96,0.0
64,135675,15,1353,9,2.0
65,135790,24,1706,41,2.0
66,135738,24,1706,41,2.0
67,135830,25,1783,31,2.0
68,135829,26,1778,20,2.0
69,135909,22,1550,9,2.0
70,135936,12,843,38,0.0
71,135977,6,901,42,0.0
72,136024,0,840,38,0.0
73,136050,0,776,44,0.0
74,136096,0,776,44,0.0
75,136194,6,714,69,0.0
76,136180,6,714,69,0.0
77,136272,5,923,49,0.0
78,136271,8,939,38,0.0
79,136270,1,914,48,0.0
80,136440,2,886,70,0.0
81,136356,2,886,70,0.0
82,136451,2,886,70,0.0
83,136450,2,1396,55,0.0
84,136552,15,899,26,0.0
85,136551,12,830,40,0.0
86,136558,13,956,96,0.0
87,136584,13,956,96,0.0
88,136617,17,1240,72,2.0
89,136557,17,1240,72,2.0
90,136641,6,880,38,0.0
91,136687,0,882,49,0.0
92,136726,0,873,56,0.0
93,136751,1,895,58,0.0
94,136797,2,937,55,0.0
95,136803,2,937,55,0.0
96,136874,2,937,55,0.0
97,136893,4,890,71,0.0
98,136956,7,904,58,0.0
99,137003,7,904,58,0.0
100,137002,4,908,63,0.0
101,137001,5,953,58,0.0
102,137029,15,1859,42,-1.0
103,137194,14,949,27,0.0
104,137183,14,949,27,0.0
105,137182,19,1327,59,2.0
106,137193,19,1327,59,2.0
107,137255,26,1806,15,2.0
108,137290,26,1806,15,2.0
109,137381,23,1175,0,0.0
110,137254,23,1175,0,0.0
111,137380,10,887,1,0.0
112,137387,6,893,35,0.0
113,137386,9,1095,81,-1.0
114,137486,13,1536,15,-1.0
115,137484,15,1244,72,2.0
116,137513,24,0,42,3.0
117,137512,27,1897,23,2.0
118,137564,31,1979,1,2.0
119,137597,29,1329,46,3.0
120,137632,33,1470,21,3.0
121,137684,32,1494,32,3.0
122,137721,37,1660,26,3.0
123,137760,34,1558,18,3.0
124,137827,32,1393,0,0.0
125,137880,29,1311,30,3.0
126,137924,29,1261,7,3.0
127,138016,30,1359,59,3.0
128,138105,30,1353,5,3.0
129,138202,30,1353,5,3.0
130,138201,27,1221,27,3.0
131,138200,26,1162,21,3.0
132,138257,25,1111,20,3.0
133,138285,25,1140,77,3.0
134,138505,34,1526,53,3.0
135,138364,34,1526,53,3.0
136,138504,32,1447,0,0.0
137,138573,27,1254,67,3.0
138,138569,27,1254,67,3.0
139,138644,36,1657,74,3.0
140,138568,36,1657,74,3.0
141,138643,51,2332,94,3.0
142,138678,56,1768,34,4.0
143,138717,44,1410,0,0.0
144,138772,34,1085,0,0.0
145,138790,19,926,27,0.0
146,138849,14,956,81,0.0
147,138889,13,962,97,0.0
148,138929,23,1634,72,2.0
149,138968,32,1537,2,3.0
150,139001,32,1385,9,3.0
151,139064,29,1299,22,3.0
152,139063,27,1219,52,3.0
153,139098,26,1146,27,3.0
154,139119,21,957,18,0.0
155,139207,24,1078,94,3.0
156,139190,24,1078,94,3.0
157,139257,27,1237,28,3.0
158,139275,27,1212,20,3.0
159,139298,29,1303,54,3.0
160,139338,34,1549,19,3.0
161,139355,43,1936,45,3.0
162,139384,43,1920,0,0.0
163,139413,37,875,28,0.0
164,139454,23,907,30,0.0
165,139509,18,916,30,0.0
166,139587,18,916,30,0.0
167,139586,12,914,33,0.0
168,139620,12,1039,96,2.0
169,139767,12,884,63,0.0
170,139656,12,884,63,0.0
171,139766,7,958,34,0.0
172,139835,3,891,58,0.0
173,139865,0,835,32,0.0
174,139864,0,774,41,0.0
175,139904,0,736,47,0.0
176,139951,2,0,0,0.0
177,139998,200,0,0,0.0
178,140056,0,1023,92,0.0
179,140110,16,2058,56,0.0
180,140187,17,1194,37,2.0
181,140227,19,1329,19,2.0
182,140250,23,1609,10,2.0
183,140291,19,1287,0,0.0
184,140336,22,1573,48,2.0
185,132445,22,1573,48,2.0
186,132444,21,1416,2,2.0
187,140382,21,1416,2,2.0
188,140436,16,1168,49,2.0
189,132443,16,1168,49,2.0
190,132442,20,1356,9,2.0
191,140474,20,1356,9,2.0
192,140525,10,910,31,0.0
193,132441,10,910,31,0.0
194,132487,20,1461,3,2.0
195,132486,22,1545,5,2.0
196,132485,15,1290,58,2.0
197,132484,20,1545,52,2.0
198,132483,14,930,14,0.0
199,132505,10,906,14,0.0
200,132539,5,875,51,0.0
201,132538,5,890,68,0.0
202,132537,5,930,68,0.0
203,132536,3,901,41,0.0
204,132535,0,901,45,0.0
205,140571,0,777,47,0.0
206,132572,0,777,47,0.0
207,132571,0,781,45,0.0
208,140623,0,781,45,0.0
209,140674,0,779,44,0.0
210,132570,0,779,44,0.0
211,132569,0,784,45,0.0
212,140765,0,784,45,0.0
213,140764,0,774,45,0.0
214,132568,0,774,45,0.0
215,140763,0,780,45,0.0
216,140812,0,780,45,0.0
217,140811,0,777,45,0.0
218,140810,0,778,45,0.0
219,140809,0,779,46,0.0
220,140808,0,777,45,0.0
221,140866,0,779,46,0.0
222,140936,0,779,46,0.0
223,132661,0,779,46,0.0
224,140904,0,779,46,0.0
225,140865,0,778,48,0.0
226,140903,0,778,48,0.0
227,140935,0,778,48,0.0
228,132660,0,778,48,0.0
229,140902,0,780,48,0.0
230,132659,0,780,48,0.0
231,140934,0,780,48,0.0
232,140864,0,780,48,0.0
233,140863,0,780,47,0.0
234,140933,0,780,47,0.0
235,132658,0,780,47,0.0
236,140901,0,780,47,0.0
237,132740,0,781,48,0.0
238,140862,0,781,48,0.0
239,140932,0,781,48,0.0
240,140900,0,781,48,0.0
241,132738,0,778,48,0.0
242,140980,0,778,48,0.0
243,140979,0,781,48,0.0
244,132737,0,781,48,0.0
245,132736,0,778,48,0.0
246,140978,0,778,48,0.0
247,140977,0,776,52,0.0
248,132735,0,776,52,0.0
249,132743,0,779,50,0.0
250,132742,0,777,50,0.0
251,132741,0,773,50,0.0
252,132739,0,777,52,0.0
253,132734,0,775,53,0.0
254,140976,0,782,51,0.0
255,141018,0,781,51,0.0
256,141017,0,783,52,0.0
257,141016,0,780,52,0.0
258,141015,0,782,50,0.0
259,141014,0,784,52,0.0
260,132777,0,778,51,0.0
261,132776,0,772,55,0.0
262,132775,9,1107,79,-1.0
263,132770,14,1031,40,2.0
264,132797,20,1466,64,2.0
265,132796,31,1343,0,0.0
266,132795,36,1632,23,3.0
267,132794,35,1585,43,3.0
268,132793,39,1777,33,3.0
269,132814,41,1857,42,3.0
270,132813,40,1848,7,3.0
271,132812,36,1605,0,0.0
272,132811,32,1397,9,3.0
273,132810,33,1506,45,3.0
274,132830,41,1899,83,3.0
275,132829,47,2194,0,0.0
276,132828,50,2237,44,3.0
277,132827,34,1188,0,0.0
278,141050,12,884,64,0.0
279,132826,10,898,0,0.0
280,132847,12,884,64,0.0
281,141051,8,804,64,0.0
282,132849,8,804,64,0.0
283,141049,24,1639,64,2.0
284,132845,24,1639,64,2.0
285,132844,30,1980,64,2.0
286,141048,30,1980,64,2.0
287,141047,31,2196,26,2.0
288,132838,31,2196,26,2.0
289,141084,31,0,26,2.0
290,132874,31,0,26,2.0
291,132873,31,0,29,2.0
292,141083,31,0,29,2.0
293,132872,24,914,36,0.0
294,141082,24,914,36,0.0
295,141081,23,914,36,0.0
296,132871,23,914,36,0.0
297,141080,23,920,35,0.0
298,132870,23,920,35,0.0
299,132914,23,920,36,0.0
300,132913,23,1447,21,2.0
301,132912,19,882,82,0.0
302,132911,23,1646,65,2.0
303,132910,25,1756,16,2.0
304,132950,23,1604,5,2.0
305,132949,15,864,29,0.0
306,132948,8,904,37,0.0
307,132947,3,914,36,0.0
308,132942,1,915,36,0.0
309,132996,0,771,45,0.0
310,132995,0,776,48,0.0
311,132994,0,776,50,0.0
312,132993,0,777,50,0.0
313,132990,0,778,50,0.0
314,133024,0,781,49,0.0
315,133023,0,782,50,0.0
316,133022,0,779,50,0.0
317,133021,0,783,50,0.0
318,133020,0,1008,74,0.0
319,141117,2,841,58,0.0
320,133049,2,841,58,0.0
321,133048,4,925,36,0.0
322,141116,4,925,36,0.0
323,141115,0,765,49,0.0
324,133047,0,765,49,0.0
325,141114,0,774,51,0.0
326,133046,0,774,51,0.0
327,133045,0,780,50,0.0
